index,period_bin,radius_bin,period,radius_earth,t0,b,rp_rs,a_rs,duration,u1,u2,recovered,match,n_transits_in_data,found_period,found_t0,found_depth,found_sde,found_snr,found_detected,found_brightening_ratio,n_detections,n_skipped_variability,skipped_variability_at_period,runtime_s
2,0,0,0.5901901966230153,0.7371061165986429,1325.6607972104043,0.5298833839857572,0.009579094976414921,3.77918844883586,0.04353275589530326,0.4,0.2,False,none,86,0.5902425515574686,1353.9879762498003,9.65597869697632e-05,6.461309914241686,9.857285783430147,False,0.1830074832529499,0,0,False,6.665824054998666
1,0,0,0.7913832282982161,0.7309843085527712,1325.4398643959787,0.07085298038579908,0.00949953875054966,4.595454272573458,0.055658740420564255,0.4,0.2,False,none,66,0.791384727696678,1353.9314704304556,9.648592849131887e-05,6.819264033178053,9.28105083057561,False,0.3080304561438241,0,0,False,6.683996955998737
0,0,0,0.6828263904859496,0.7472089542011818,1325.8426600117186,0.27850682779352254,0.00971038684707879,4.164959213146381,0.05123491384621164,0.4,0.2,True,exact,76,0.6828503442737911,1353.8391353902675,0.00010903542336948568,8.420145101048703,10.999108603263533,True,0.19549241603203052,1,0,False,13.09589901399886
3,0,0,0.5248972252608185,0.831601764273155,1325.5409032397272,0.004166678995547202,0.010807117324281107,3.4950501003492045,0.04902130082910823,0.4,0.2,True,exact,98,0.5248641206549794,1354.410383848566,0.00014398569664653138,12.25657420340339,16.20334327501506,True,0.14390720053489525,1,0,False,13.129896397000266
4,0,0,0.7840534416509519,0.892938701149998,1325.5518549793496,0.5371401300337068,0.011604224186746028,4.567034909503574,0.047456758394956056,0.4,0.2,True,exact,69,0.7841065187651101,1353.7768767839193,0.00014491898032098494,11.32677426180655,15.077451119090224,True,0.15007758155312842,1,0,False,13.001010235999274
5,0,0,0.5499103832039001,0.801028651921985,1325.7779118636931,0.25023725976781375,0.010409803097276904,3.605220519466177,0.04825321246640376,0.4,0.2,True,exact,94,0.5499583877229571,1354.3717480616358,0.00010394632121590863,9.301249663599574,12.084196979310247,True,0.23202041894729852,1,1,False,13.267964801001654
6,0,0,0.5516407766889757,0.7609684756019084,1325.4448047193991,0.7264637878210725,0.00988919931296332,3.612779548621541,0.035039024183381555,0.4,0.2,False,none,90,0.5516184114425713,1354.1303349200557,0.00010123958062291383,6.475129979675716,10.343964557751468,False,0.20594884290068072,0,0,False,7.036755439003173
7,0,0,0.565785227748698,0.7152734165953119,1325.4462469975513,0.42048793244280686,0.009295367162720277,3.6742747112772194,0.04576126195063254,0.4,0.2,False,none,91,0.5655760541363493,1354.323108369329,6.098832680589972e-05,5.909737684746093,7.535881427751918,False,0.22243763114379678,0,0,False,7.28084904500065
8,0,0,0.7533335573167216,0.7637713239857713,1325.6638213670028,0.6963902385286838,0.009925623852482008,4.4469484663246845,0.04012065988183175,0.4,0.2,False,none,72,0.7534014786947559,1354.294020955026,0.00010669266723073445,5.078883527609072,8.757458721142113,False,0.2516502800222298,0,0,False,7.650870780002151
10,0,0,0.5598529852555357,0.7405185552536339,1325.606827984709,0.8149274136368432,0.009623441473128564,3.6485465071150687,0.03000735121973792,0.4,0.2,False,none,93,0.5598625845041089,1354.1614740222515,9.527016690025203e-05,4.784746094651587,8.76455064544931,False,0.2191618925674456,0,0,False,7.812382543001149
